Data.Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,Station.City,Station.Code,Station.Location,Station.State,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0,2016-11-13,11,13,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,56,25,3.07
0.79,2016-11-20,11,20,2016,San Francisco,SFO,"San Francisco, CA",California,57,62,51,20,6.7
0.67,2016-11-27,11,27,2016,San Francisco,SFO,"San Francisco, CA",California,54,59,48,22,5.52
0,2016-12-04,12,4,2016,San Francisco,SFO,"San Francisco, CA",California,53,60,45,30,7.92
2.44,2016-12-11,12,11,2016,San Francisco,SFO,"San Francisco, CA",California,53,57,48,20,6.1
1.54,2016-12-18,12,18,2016,San Francisco,SFO,"San Francisco, CA",California,51,56,46,15,7.04
0.65,2016-12-25,12,25,2016,San Francisco,SFO,"San Francisco, CA",California,49,56,41,16,4.41
1.81,2016-01-03,1,3,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,47,51,42,35,13.03
0.25,2016-01-10,1,10,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,55,64,45,14,7.11
0.02,2016-01-17,1,17,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,55,66,44,14,5.81
0,2016-01-24,1,24,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,58,71,45,18,10.08
0,2016-01-31,1,31,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,60,74,46,18,11.17
0,2016-02-07,2,7,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,58,71,44,11,11.81
0,2016-02-14,2,14,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,61,78,44,20,9.62
0,2016-02-21,2,21,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,68,81,55,14,10.82
0.21,2016-02-28,2,28,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,63,76,50,18,10.4
0,2016-03-06,3,6,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,72,82,61,12,10.75
5.25,2016-03-13,3,13,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,71,77,64,16,11.85
1.29,2016-03-20,3,20,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,71,78,63,15,12.38
0,2016-03-27,3,27,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,67,75,58,9,12.41
0.01,2016-04-03,4,3,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,66,77,54,7,10.3
0.08,2016-04-10,4,10,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,71,83,58,14,9.97
0.36,2016-04-17,4,17,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,75,82,68,9,12.38
2.95,2016-04-24,4,24,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,75,83,68,10,8.28
0,2016-05-01,5,1,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,84,90,78,9,9.3
0,2016-05-08,5,8,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,74,85,63,13,9.05
2.81,2016-05-15,5,15,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,87,73,12,11.1
2.99,2016-05-22,5,22,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,85,73,8,8.8
0.01,2016-05-29,5,29,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,83,88,77,14,14.34
2.78,2016-06-05,6,5,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,79,86,71,24,4.78
0.01,2016-06-12,6,12,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,83,90,75,10,6.54
0.08,2016-06-19,6,19,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,85,92,77,14,9.8
0.01,2016-06-26,6,26,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,84,92,76,13,8.28
0,2016-07-03,7,3,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,78,16,13
0,2016-07-10,7,10,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,93,80,15,16.11
0,2016-07-17,7,17,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,93,78,15,13.98
0,2016-07-24,7,24,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,77,12,8.02
0,2016-07-31,7,31,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,87,94,78,14,10.54
0,2016-08-07,8,7,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,96,76,13,9.04
0.03,2016-08-14,8,14,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,88,97,78,15,9.62
2.59,2016-08-21,8,21,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,84,91,76,14,8.27
0,2016-08-28,8,28,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,95,76,11,8.45
0.11,2016-09-04,9,4,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,95,76,7,4.92
0.36,2016-09-11,9,11,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,96,77,12,8.11
0.01,2016-09-18,9,18,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,76,10,5.47
0.63,2016-09-25,9,25,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,85,94,76,12,6.32
0,2016-10-02,10,2,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,87,66,5,5.6
0.12,2016-10-09,10,9,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,81,91,71,8,7.62
0,2016-10-16,10,16,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,92,67,11,6.75
0.81,2016-10-23,10,23,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,89,65,10,8.87
0,2016-10-30,10,30,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,88,66,9,6.35
0.13,2016-11-06,11,6,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,87,72,9,9.5
0.1,2016-11-13,11,13,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,70,76,63,5,7.58
1.02,2016-11-20,11,20,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,67,80,53,12,7.35
0,2016-11-27,11,27,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,70,80,60,10,9.85
1.85,2016-12-04,12,4,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,65,70,58,5,13.8
0.15,2016-12-11,12,11,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,55,63,47,13,9.94
0.05,2016-12-18,12,18,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,65,74,57,21,10.12
0.04,2016-12-25,12,25,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,61,68,53,12,10.37
