Data.Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,Station.City,Station.Code,Station.Location,Station.State,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0.77,2016-08-28,8,28,2016,Homer,HOM,"Homer, AK",Alaska,60,67,51,17,1.18
0.43,2016-09-04,9,4,2016,Homer,HOM,"Homer, AK",Alaska,55,63,47,15,1.52
1.27,2016-09-11,9,11,2016,Homer,HOM,"Homer, AK",Alaska,54,61,46,22,2.95
1.3,2016-09-18,9,18,2016,Homer,HOM,"Homer, AK",Alaska,52,59,45,16,5.37
1.86,2016-09-25,9,25,2016,Homer,HOM,"Homer, AK",Alaska,50,56,43,18,4.57
0.01,2016-10-02,10,2,2016,Homer,HOM,"Homer, AK",Alaska,48,55,40,6,2.3
0.1,2016-10-09,10,9,2016,Homer,HOM,"Homer, AK",Alaska,45,54,35,11,2.72
0,2016-10-16,10,16,2016,Homer,HOM,"Homer, AK",Alaska,45,52,37,6,7.2
0.28,2016-10-23,10,23,2016,Homer,HOM,"Homer, AK",Alaska,38,45,31,8,5.61
0.24,2016-10-30,10,30,2016,Homer,HOM,"Homer, AK",Alaska,41,48,34,11,2.62
1.37,2016-11-06,11,6,2016,Homer,HOM,"Homer, AK",Alaska,35,42,29,4,3.36
1.37,2016-11-13,11,13,2016,Homer,HOM,"Homer, AK",Alaska,39,44,34,4,5.15
0.14,2016-11-20,11,20,2016,Homer,HOM,"Homer, AK",Alaska,30,35,24,4,4.75
0.57,2016-11-27,11,27,2016,Homer,HOM,"Homer, AK",Alaska,30,37,22,7,4.14
0.13,2016-12-04,12,4,2016,Homer,HOM,"Homer, AK",Alaska,20,25,15,10,5.27
0.08,2016-12-11,12,11,2016,Homer,HOM,"Homer, AK",Alaska,20,26,13,4,4.81
0.51,2016-12-18,12,18,2016,Homer,HOM,"Homer, AK",Alaska,29,36,22,7,4.37
1.31,2016-12-25,12,25,2016,Homer,HOM,"Homer, AK",Alaska,27,32,21,4,4.75
0,2016-07-03,7,3,2016,San Francisco,SFO,"San Francisco, CA",California,63,72,54,32,7.66
0,2016-07-10,7,10,2016,San Francisco,SFO,"San Francisco, CA",California,62,69,55,27,12.98
0,2016-07-17,7,17,2016,San Francisco,SFO,"San Francisco, CA",California,63,71,54,29,11.82
0,2016-07-24,7,24,2016,San Francisco,SFO,"San Francisco, CA",California,62,69,55,27,15.51
0,2016-07-31,7,31,2016,San Francisco,SFO,"San Francisco, CA",California,63,73,53,29,11.97
0,2016-08-07,8,7,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,55,27,11.07
0,2016-08-14,8,14,2016,San Francisco,SFO,"San Francisco, CA",California,64,72,55,29,10.7
0,2016-08-21,8,21,2016,San Francisco,SFO,"San Francisco, CA",California,64,70,56,29,11.27
0,2016-08-28,8,28,2016,San Francisco,SFO,"San Francisco, CA",California,64,70,58,26,9.67
0,2016-09-04,9,4,2016,San Francisco,SFO,"San Francisco, CA",California,62,68,56,26,12.47
0,2016-09-11,9,11,2016,San Francisco,SFO,"San Francisco, CA",California,65,74,55,28,8.94
0,2016-09-18,9,18,2016,San Francisco,SFO,"San Francisco, CA",California,63,72,55,26,9.1
0,2016-09-25,9,25,2016,San Francisco,SFO,"San Francisco, CA",California,67,77,57,28,11.31
0,2016-10-02,10,2,2016,San Francisco,SFO,"San Francisco, CA",California,62,68,55,27,14.85
0,2016-10-09,10,9,2016,San Francisco,SFO,"San Francisco, CA",California,65,75,54,26,6.57
1.3,2016-10-16,10,16,2016,San Francisco,SFO,"San Francisco, CA",California,61,68,56,22,8.41
0,2016-10-23,10,23,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,55,27,7.44
1.45,2016-10-30,10,30,2016,San Francisco,SFO,"San Francisco, CA",California,64,68,59,17,7.8
0.02,2016-11-06,11,6,2016,San Francisco,SFO,"San Francisco, CA",California,61,68,54,26,3.21
0,2016-11-13,11,13,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,56,25,3.07
0.79,2016-11-20,11,20,2016,San Francisco,SFO,"San Francisco, CA",California,57,62,51,20,6.7
0.67,2016-11-27,11,27,2016,San Francisco,SFO,"San Francisco, CA",California,54,59,48,22,5.52
0,2016-12-04,12,4,2016,San Francisco,SFO,"San Francisco, CA",California,53,60,45,30,7.92
2.44,2016-12-11,12,11,2016,San Francisco,SFO,"San Francisco, CA",California,53,57,48,20,6.1
1.54,2016-12-18,12,18,2016,San Francisco,SFO,"San Francisco, CA",California,51,56,46,15,7.04
0.65,2016-12-25,12,25,2016,San Francisco,SFO,"San Francisco, CA",California,49,56,41,16,4.41
0,2016-07-03,7,3,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,78,16,13
0,2016-07-10,7,10,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,93,80,15,16.11
0,2016-07-17,7,17,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,93,78,15,13.98
0,2016-07-24,7,24,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,77,12,8.02
0,2016-07-31,7,31,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,87,94,78,14,10.54
0,2016-08-07,8,7,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,96,76,13,9.04
0.03,2016-08-14,8,14,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,88,97,78,15,9.62
2.59,2016-08-21,8,21,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,84,91,76,14,8.27
0,2016-08-28,8,28,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,95,76,11,8.45
0.11,2016-09-04,9,4,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,95,76,7,4.92
0.36,2016-09-11,9,11,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,96,77,12,8.11
0.01,2016-09-18,9,18,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,86,94,76,10,5.47
0.63,2016-09-25,9,25,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,85,94,76,12,6.32
0,2016-10-02,10,2,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,87,66,5,5.6
0.12,2016-10-09,10,9,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,81,91,71,8,7.62
0,2016-10-16,10,16,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,92,67,11,6.75
0.81,2016-10-23,10,23,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,89,65,10,8.87
0,2016-10-30,10,30,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,77,88,66,9,6.35
0.13,2016-11-06,11,6,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,80,87,72,9,9.5
0.1,2016-11-13,11,13,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,70,76,63,5,7.58
1.02,2016-11-20,11,20,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,67,80,53,12,7.35
0,2016-11-27,11,27,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,70,80,60,10,9.85
1.85,2016-12-04,12,4,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,65,70,58,5,13.8
0.15,2016-12-11,12,11,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,55,63,47,13,9.94
0.05,2016-12-18,12,18,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,65,74,57,21,10.12
0.04,2016-12-25,12,25,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,61,68,53,12,10.37
